"last_updated"	"id"	"chi_name"	"chi_address"	"district"	"tel1"	"tel2"	"tel3"	"website"	"fb_page"	"remarks"	"head_ad1_image"	"head_ad1_href"	"head_ad1_start"	"head_ad1_end"	"head_ad2_image"	"head_ad2_href"	"head_ad2_start"	"head_ad2_end"	"footer_ad1_image"	"footer_ad1_href"	"footer_ad1_start"	"footer_ad1_end"	"opening_hours"	"weekday_text"	"Longitude"	"Latitude"
"2022年3月22日"	"1"	"仁德動物醫院"	"新界大埔瑞安街6號地下"	"大埔區"	"26382869"	""	""	"http://www.petcares.hk/"	"https://zh-hk.facebook.com/%E5%A4%A7%E5%9F%94%E4%BB%81%E5%BE%B7%E5%8B%95%E7%89%A9%E9%86%AB%E9%99%A2-210953255603874/"	""	""	""	""	""	""	""	""	""	""	""	""	""	"[{'open': {'day': 0, 'time': '0000'}}]"	"['星期一: 24 小時營業', '星期二: 24 小時營業', '星期三: 24 小時營業', '星期四: 24 小時營業', '星期五: 24 小時營業', '星期六: 24 小時營業', '星期日: 24 小時營業']"	"114.1635"	"22.4493"
"2022年3月22日"	"2"	"Jack's Veterinary Hospital"	"新界大埔翠和里5號麗和閣地下E號舖"	"大埔區"	"61686175"	""	""	"http://www.j-vet.com/contact-us-tc.html"	"https://www.facebook.com/pg/japanvc"	""	""	""	""	""	""	""	""	""	""	""	""	""	"[{'close': {'day': 0, 'time': '1900'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 1, 'time': '1900'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '1900'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '1900'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '1900'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '1900'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '1900'}, 'open': {'day': 6, 'time': '1000'}}]"	"['星期一: 10:00 – 19:00', '星期二: 10:00 – 19:00', '星期三: 10:00 – 19:00', '星期四: 10:00 – 19:00', '星期五: 10:00 – 19:00', '星期六: 10:00 – 19:00', '星期日: 10:00 – 19:00']"	"114.1645"	"22.4482"
"2022年3月22日"	"3"	"動物醫療中心 - 安健獸醫診所"	"新界大埔仁興街54號地舖"	"大埔區"	"26561128"	""	""	"https://amc.vet/taipo.php"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"[{'close': {'day': 0, 'time': '1930'}, 'open': {'day': 0, 'time': '0900'}}, {'close': {'day': 1, 'time': '1930'}, 'open': {'day': 1, 'time': '0900'}}, {'close': {'day': 2, 'time': '1930'}, 'open': {'day': 2, 'time': '0900'}}, {'close': {'day': 3, 'time': '1930'}, 'open': {'day': 3, 'time': '0900'}}, {'close': {'day': 4, 'time': '1930'}, 'open': {'day': 4, 'time': '0900'}}, {'close': {'day': 5, 'time': '1930'}, 'open': {'day': 5, 'time': '0900'}}, {'close': {'day': 6, 'time': '1900'}, 'open': {'day': 6, 'time': '1000'}}]"	"['星期一: 09:00 – 19:30', '星期二: 09:00 – 19:30', '星期三: 09:00 – 19:30', '星期四: 09:00 – 19:30', '星期五: 09:00 – 19:30', '星期六: 09:00 – 19:30', '星期日: 10:00 – 19:00']"	"114.1645"	"22.4482"
"2022年3月22日"	"4"	"普益獸醫診所"	"新界大埔普益街19號地舖"	"大埔區"	"26533632"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1000'}}]"	"['星期一: 10:00 – 22:00', '星期二: 10:00 – 22:00', '星期三: 10:00 – 22:00', '星期四: 10:00 – 22:00', '星期五: 10:00 – 22:00', '星期六: 10:00 – 22:00', '星期日: 10:00 – 22:00']"	"114.1662"	"22.4496"
"2022年3月22日"	"5"	"懷仁動物醫院"	"新界大埔懷仁街31號地下"	"大埔區"	"21915636"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"[{'close': {'day': 0, 'time': '1400'}, 'open': {'day': 0, 'time': '0900'}}, {'close': {'day': 0, 'time': '1900'}, 'open': {'day': 0, 'time': '1500'}}, {'close': {'day': 1, 'time': '1400'}, 'open': {'day': 1, 'time': '0900'}}, {'close': {'day': 1, 'time': '1900'}, 'open': {'day': 1, 'time': '1500'}}, {'close': {'day': 2, 'time': '1400'}, 'open': {'day': 2, 'time': '0900'}}, {'close': {'day': 2, 'time': '1900'}, 'open': {'day': 2, 'time': '1500'}}, {'close': {'day': 3, 'time': '1400'}, 'open': {'day': 3, 'time': '0900'}}, {'close': {'day': 3, 'time': '1900'}, 'open': {'day': 3, 'time': '1500'}}, {'close': {'day': 4, 'time': '1400'}, 'open': {'day': 4, 'time': '0900'}}, {'close': {'day': 4, 'time': '1900'}, 'open': {'day': 4, 'time': '1500'}}, {'close': {'day': 5, 'time': '1400'}, 'open': {'day': 5, 'time': '0900'}}, {'close': {'day': 5, 'time': '1900'}, 'open': {'day': 5, 'time': '1500'}}, {'close': {'day': 6, 'time': '1400'}, 'open': {'day': 6, 'time': '0900'}}, {'close': {'day': 6, 'time': '1900'}, 'open': {'day': 6, 'time': '1500'}}]"	"['星期一: 09:00 – 14:00, 15:00 – 19:00', '星期二: 09:00 – 14:00, 15:00 – 19:00', '星期三: 09:00 – 14:00, 15:00 – 19:00', '星期四: 09:00 – 14:00, 15:00 – 19:00', '星期五: 09:00 – 14:00, 15:00 – 19:00', '星期六: 09:00 – 14:00, 15:00 – 19:00', '星期日: 09:00 – 14:00, 15:00 – 19:00']"	"114.1662"	"22.4483"
"2022年3月22日"	"6"	"寵樂動物診所"	"新界大埔廣福道149-155號永誠樓地下B室"	"大埔區"	"26532287"	""	""	""	"https://www.facebook.com/happypawsvets/"	""	""	""	""	""	""	""	""	""	""	""	""	""	"[{'close': {'day': 0, 'time': '1830'}, 'open': {'day': 0, 'time': '0930'}}, {'close': {'day': 1, 'time': '1830'}, 'open': {'day': 1, 'time': '0930'}}, {'close': {'day': 2, 'time': '1830'}, 'open': {'day': 2, 'time': '0930'}}, {'close': {'day': 3, 'time': '1830'}, 'open': {'day': 3, 'time': '0930'}}, {'close': {'day': 4, 'time': '1830'}, 'open': {'day': 4, 'time': '0930'}}, {'close': {'day': 5, 'time': '1830'}, 'open': {'day': 5, 'time': '0930'}}, {'close': {'day': 6, 'time': '1830'}, 'open': {'day': 6, 'time': '0930'}}]"	"['星期一: 09:30 – 18:30', '星期二: 09:30 – 18:30', '星期三: 09:30 – 18:30', '星期四: 09:30 – 18:30', '星期五: 09:30 – 18:30', '星期六: 09:30 – 18:30', '星期日: 09:30 – 18:30']"	"114.1676"	"22.4486"
"2022年3月22日"	"7"	"沙田圍獸醫診所"	"新界沙田崗背街9至11號全輝中心A座10號地舖"	"沙田區"	"39550111"	""	""	"https://www.cppcvet.com/swpc"	"https://www.facebook.com/pg/shatinpets"	""	""	""	""	""	""	""	""	""	""	""	""	""	"[{'close': {'day': 0, 'time': '1400'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 0, 'time': '1900'}, 'open': {'day': 0, 'time': '1500'}}, {'close': {'day': 1, 'time': '1400'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 1, 'time': '1900'}, 'open': {'day': 1, 'time': '1500'}}, {'close': {'day': 2, 'time': '1400'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 2, 'time': '1900'}, 'open': {'day': 2, 'time': '1500'}}, {'close': {'day': 3, 'time': '1400'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 3, 'time': '1900'}, 'open': {'day': 3, 'time': '1500'}}, {'close': {'day': 4, 'time': '1400'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 4, 'time': '1900'}, 'open': {'day': 4, 'time': '1500'}}, {'close': {'day': 5, 'time': '1400'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 5, 'time': '1900'}, 'open': {'day': 5, 'time': '1500'}}, {'close': {'day': 6, 'time': '1400'}, 'open': {'day': 6, 'time': '1000'}}, {'close': {'day': 6, 'time': '1900'}, 'open': {'day': 6, 'time': '1500'}}]"	"['星期一: 10:00 – 14:00, 15:00 – 19:00', '星期二: 10:00 – 14:00, 15:00 – 19:00', '星期三: 10:00 – 14:00, 15:00 – 19:00', '星期四: 10:00 – 14:00, 15:00 – 19:00', '星期五: 10:00 – 14:00, 15:00 – 19:00', '星期六: 10:00 – 14:00, 15:00 – 19:00', '星期日: 10:00 – 14:00, 15:00 – 19:00']"	"114.1974"	"22.3803"
"2022年3月22日"	"8"	"大圍珍禽異獸及寵物醫院"	"新界沙田大圍積信街75號C及D地舖"	"沙田區"	"26871030"	""	""	"http://www.taiwaiexotic.com"	"https://www.facebook.com/197932886890109"	""	""	""	""	""	""	""	""	""	""	""	""	""	"[{'open': {'day': 0, 'time': '0000'}}]"	"['星期一: 24 小時營業', '星期二: 24 小時營業', '星期三: 24 小時營業', '星期四: 24 小時營業', '星期五: 24 小時營業', '星期六: 24 小時營業', '星期日: 24 小時營業']"	"114.1811"	"22.3758"
"2022年3月22日"	"9"	"仁心動物診所"	"新界沙田大圍城河道5-7號地下"	"沙田區"	"26880840"	""	""	"http://caringanimalclinic.com/"	"https://www.facebook.com/405017833010193/"	""	""	""	""	""	""	""	""	""	""	""	""	""	"[{'close': {'day': 0, 'time': '2130'}, 'open': {'day': 0, 'time': '1030'}}, {'close': {'day': 1, 'time': '2130'}, 'open': {'day': 1, 'time': '1030'}}, {'close': {'day': 2, 'time': '2130'}, 'open': {'day': 2, 'time': '1030'}}, {'close': {'day': 3, 'time': '2130'}, 'open': {'day': 3, 'time': '1030'}}, {'close': {'day': 4, 'time': '2130'}, 'open': {'day': 4, 'time': '1030'}}, {'close': {'day': 5, 'time': '2130'}, 'open': {'day': 5, 'time': '1030'}}, {'close': {'day': 6, 'time': '2130'}, 'open': {'day': 6, 'time': '1030'}}]"	"['星期一: 10:30 – 21:30', '星期二: 10:30 – 21:30', '星期三: 10:30 – 21:30', '星期四: 10:30 – 21:30', '星期五: 10:30 – 21:30', '星期六: 10:30 – 21:30', '星期日: 10:30 – 21:30']"	"114.1792"	"22.3769"
"2022年3月22日"	"10"	"沙田動物醫院"	"新界沙田大圍積存街74-76號慶雲樓地下B舖"	"沙田區"	"26941452"	""	""	"https://www.hongkongvet.com/zh-hant/about/main/2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"[{'close': {'day': 0, 'time': '1300'}, 'open': {'day': 0, 'time': '0900'}}, {'close': {'day': 0, 'time': '1930'}, 'open': {'day': 0, 'time': '1530'}}, {'close': {'day': 1, 'time': '1300'}, 'open': {'day': 1, 'time': '0900'}}, {'close': {'day': 1, 'time': '1930'}, 'open': {'day': 1, 'time': '1530'}}, {'close': {'day': 2, 'time': '1300'}, 'open': {'day': 2, 'time': '0900'}}, {'close': {'day': 2, 'time': '1930'}, 'open': {'day': 2, 'time': '1530'}}, {'close': {'day': 3, 'time': '1300'}, 'open': {'day': 3, 'time': '0900'}}, {'close': {'day': 3, 'time': '1930'}, 'open': {'day': 3, 'time': '1530'}}, {'close': {'day': 4, 'time': '1300'}, 'open': {'day': 4, 'time': '0900'}}, {'close': {'day': 4, 'time': '1930'}, 'open': {'day': 4, 'time': '1530'}}, {'close': {'day': 5, 'time': '1300'}, 'open': {'day': 5, 'time': '0900'}}, {'close': {'day': 5, 'time': '1900'}, 'open': {'day': 5, 'time': '1530'}}, {'close': {'day': 6, 'time': '1300'}, 'open': {'day': 6, 'time': '0900'}}, {'close': {'day': 6, 'time': '1900'}, 'open': {'day': 6, 'time': '1530'}}]"	"['星期一: 09:00 – 13:00, 15:30 – 19:30', '星期二: 09:00 – 13:00, 15:30 – 19:30', '星期三: 09:00 – 13:00, 15:30 – 19:30', '星期四: 09:00 – 13:00, 15:30 – 19:30', '星期五: 09:00 – 13:00, 15:30 – 19:30', '星期六: 09:00 – 13:00, 15:30 – 19:00', '星期日: 09:00 – 13:00, 15:30 – 19:00']"	"114.1645"	"22.4482"
